Pair	MG-Sal-WT-1F	MG-Sal-WT-2F	MG-Sal-WT-3M	MG-Sal-WT-4M	MG-Sal-KO-1F	MG-Sal-KO-2F	MG-Sal-KO-3F	MG-LPS-WT-10F	MG-LPS-WT-11F	MG-LPS-WT-12F	MG-LPS-WT-5F	MG-LPS-WT-6F	MG-LPS-WT-11M	MG-LPS-WT-1M	MG-LPS-WT-8M	MG-LPS-WT-9M	MG-LPS-Het-10F	MG-LPS-Het-6F	MG-LPS-Het-9F	MG-LPS-Het-3M	MG-LPS-Het-4M	MG-LPS-Het-5M	MG-LPS-Het-7M	MG-LPS-Het-8M	MG-LPS-KO-12F	MG-LPS-KO-13F	MG-LPS-KO-8F	MG-LPS-KO-9F	MG-LPS-KO-10M	MG-LPS-KO-11M	MG-LPS-KO-14M	PC-Sal-WT-1F	PC-Sal-WT-2F	PC-Sal-WT-3M	PC-Sal-WT-4M	PC-Sal-KO-1F	PC-Sal-KO-2F	PC-Sal-KO-3F	PC-LPS-WT-10F	PC-LPS-WT-11F	PC-LPS-WT-12F	PC-LPS-WT-5F	PC-LPS-WT-6F	PC-LPS-WT-11M	PC-LPS-WT-1M	PC-LPS-WT-8M	PC-LPS-WT-9M	PC-LPS-Het-10F	PC-LPS-Het-6F	PC-LPS-Het-9F	PC-LPS-Het-3M	PC-LPS-Het-4M	PC-LPS-Het-5M	PC-LPS-Het-7M	PC-LPS-Het-8M	PC-LPS-KO-12F	PC-LPS-KO-13F	PC-LPS-KO-8F	PC-LPS-KO-9F	PC-LPS-KO-10M	PC-LPS-KO-11M	PC-LPS-KO-14M
MG-LPS-WT-5F	99.91	99.91	90.83	99.9	99.91	99.9	99.91	99.91	81.74	99.91	100	89.91	90.83	90.83	90.83	99.91	90.83	72.66	99.9	99.91	81.74	90.83	99.91	99.91	99.91	99.9	90.83	90.83	99.91	90.83	99.91	79.92	99.91	99.91	99.91	99.91	99.91	90.83	81.74	90.83	90.83	72.66	90.83	99.91	81.74	99.88	90.83	90.83	81.74	72.66	81.74	89.91	90.83	81.74	81.74	99.91	99.91	79.92	90.83	81.74	90.83	90.83
MG-LPS-WT-6F	99.8	99.8	99.8	99.8	99.8	99.8	99.8	99.8	79.84	99.8	99.8	100	79.84	99.8	79.84	99.8	99.8	79.84	99.8	99.8	79.84	99.8	99.8	99.8	99.8	99.8	99.8	99.8	99.8	79.84	99.8	99.75	99.8	99.8	99.8	99.8	99.8	99.8	79.84	79.84	79.84	79.84	99.8	99.8	79.84	99.8	79.84	99.8	79.84	79.84	79.84	99.8	79.84	79.84	79.84	99.8	99.8	79.84	79.84	79.84	79.84	79.84
MG-LPS-WT-11M	73.28	81.2	64.67	73.28	85.65	87.45	92.79	72.18	77.73	83.29	74.95	92.24	100	71.38	77.73	88.18	72.18	94.39	94.06	87.45	88.18	83.29	88.18	70.55	94.39	81.2	72.18	83.29	87.45	94.06	82.3	81.2	88.18	82.3	88.18	88.18	88.18	88.18	94.06	88.18	94.06	94.06	88.18	88.18	88.18	86.61	94.06	88.18	94.06	94.06	94.06	82.3	94.06	94.06	94.06	88.18	88.18	94.06	94.06	94.39	94.39	94.39
MG-LPS-WT-1M	99.86	83.19	85.59	99.86	83.19	85.59	83.19	83.19	71.33	66.56	83.19	59.88	39.92	100	57.06	83.19	71.33	42.8	59.88	66.56	66.56	71.33	83.19	83.19	71.33	85.59	85.59	59.88	71.33	57.06	83.19	39.92	79.84	59.88	79.84	59.88	79.84	59.88	39.92	39.92	39.92	19.96	59.88	79.84	39.92	59.88	39.92	39.92	19.96	19.96	19.96	59.88	39.92	19.96	39.92	59.88	59.88	19.96	39.92	49.92	49.92	49.92
MG-LPS-WT-8M	84.55	92.24	76.86	83.26	99.9	76.86	72.66	84.55	84.55	84.55	83.26	87.39	69.18	69.93	100	76.86	76.86	76.86	69.18	83.26	72.66	84.55	76.86	84.55	69.18	83.26	76.86	69.18	76.86	84.55	76.86	66.61	74.94	90.83	74.94	74.94	74.94	72.66	74.94	66.61	74.94	74.94	74.94	74.94	90.83	74.94	74.94	74.94	74.94	74.94	74.94	74.94	74.94	74.94	74.94	74.94	72.66	74.94	74.94	76.86	76.86	76.86
MG-LPS-WT-9M	78.52	84.55	64.24	78.52	99.9	85.65	91.59	68.71	59.96	74.95	66.61	88.79	81.2	81.74	62.46	100	74.95	74.95	87.45	92.79	71.38	81.2	85.65	68.71	87.45	85.65	68.71	87.45	79.95	68.71	87.45	73.28	86.61	85.65	86.61	81.2	86.61	87.45	74.95	68.71	74.95	74.95	81.2	86.61	64.24	76.86	73.28	81.2	74.95	74.95	73.28	74.95	74.95	74.95	74.95	81.2	81.2	74.95	74.95	74.95	74.95	74.95
MG-LPS-Het-10F	71.39	73.65	68.39	74.96	86.61	79.96	76.43	77.24	71.39	81.78	72.18	99.93	76.15	74.95	81.78	81.78	100	63.61	79.96	89.96	78.91	86.32	79.96	86.32	81.78	79.96	72.69	90.43	85.67	77.24	81.78	84.17	78.91	88.84	78.91	84.17	78.91	74.96	79.96	84.96	79.96	71.39	84.96	80.91	73.65	77.73	80.91	79.96	74.96	71.39	74.96	79.96	76.15	74.96	78.91	85.67	85.67	74.96	76.15	77.24	80.91	81.78
MG-LPS-Het-6F	78.91	84.17	68.39	74.96	88.18	84.17	94.06	79.13	82.57	91.63	79.96	85.65	95.79	71.38	83.3	86.92	73.88	100	91.26	85.67	86.32	79.13	85.67	69.53	91.63	73.65	79.13	83.3	85.67	86.32	81.78	79.96	85.67	79.96	85.67	85.67	84.96	85.67	90.87	86.92	91.26	90.87	86.32	85.67	94.95	83.29	90.87	86.32	91.26	91.26	90.43	81.78	91.26	91.26	90.43	86.32	86.32	90.87	91.26	91.63	91.63	91.63
MG-LPS-Het-9F	73.28	79.95	62.46	69.18	84.55	86.61	92.24	74.95	62.46	87.45	78.52	90.83	93.69	69.18	70.55	87.45	70.55	82.3	100	92.79	73.28	82.3	86.61	73.28	99.94	79.95	81.2	81.2	93.69	87.45	81.2	79.95	86.61	85.65	86.61	93.27	86.61	86.61	79.95	79.95	86.61	79.95	86.61	86.61	73.28	92.79	86.61	93.27	86.61	79.95	86.61	92.79	86.61	86.61	79.95	93.27	93.27	85.65	86.61	81.2	87.45	87.45
MG-LPS-Het-3M	76.86	84.55	74.94	79.92	90.83	90.83	90.83	85.65	71.38	92.79	76.86	92.24	92.79	81.74	85.65	92.79	92.79	71.38	99.93	100	78.52	92.79	91.59	92.79	99.93	90.83	71.38	92.79	99.93	92.79	92.79	89.91	91.59	99.91	90.83	99.92	90.83	91.59	83.26	91.59	91.59	76.86	91.59	91.59	72.66	88.79	91.59	99.92	91.59	76.86	90.83	90.83	84.55	91.59	83.26	99.92	99.92	90.83	84.55	78.52	92.24	92.79
MG-LPS-Het-4M	79.95	74.95	66.62	85.65	78.52	73.28	78.52	88.18	94.06	76.43	87.45	84.55	94.06	69.18	82.3	81.2	76.43	82.3	86.61	87.45	100	88.18	74.95	87.45	88.18	79.95	82.3	82.3	79.95	87.45	68.71	68.71	74.95	79.95	73.28	79.95	73.28	68.71	87.45	81.2	87.45	81.2	81.2	74.95	81.2	76.86	87.45	74.95	81.2	81.2	81.2	74.95	87.45	81.2	86.61	81.2	81.2	81.2	87.45	88.18	88.18	88.18
MG-LPS-Het-5M	85.65	92.79	79.95	92.79	99.91	73.28	84.55	87.45	81.2	68.71	84.55	99.9	74.95	83.26	81.2	87.45	81.2	68.71	81.2	99.93	85.65	100	73.28	87.45	81.2	99.93	62.46	81.2	74.95	74.95	74.95	64.24	73.28	84.55	71.38	73.28	71.38	73.28	66.62	59.96	66.62	66.62	73.28	71.38	61.49	66.61	64.24	73.28	66.62	66.62	64.24	66.62	66.62	66.62	66.62	73.28	73.28	66.62	66.62	68.71	68.71	68.71
MG-LPS-Het-7M	55.49	66.59	44.4	55.49	85.59	99.9	88.79	59.94	44.4	99.9	49.94	99.8	79.92	49.94	66.59	79.92	79.92	79.92	89.91	77.69	62.42	69.93	100	72.66	89.91	69.93	55.49	69.93	99.91	81.74	99.9	88.79	99.89	87.39	99.88	99.89	99.89	99.89	88.79	77.69	88.79	88.79	99.89	99.89	87.39	99.86	88.79	99.89	88.79	89.91	88.79	88.79	88.79	88.79	88.79	99.89	99.89	88.79	88.79	81.74	90.83	89.91
MG-LPS-Het-8M	78.52	69.18	69.18	85.65	83.26	85.65	76.86	87.45	78.52	87.45	84.55	90.83	81.2	74.94	79.95	81.2	86.61	74.95	87.45	87.45	87.45	87.45	87.45	100	87.45	79.95	79.95	81.2	93.69	87.45	86.61	85.65	84.55	93.27	85.65	92.79	85.65	85.65	85.65	79.95	86.61	85.65	92.79	85.65	78.52	91.59	86.61	92.79	86.61	87.45	85.65	85.65	86.61	86.61	85.65	92.79	93.27	85.65	86.61	82.3	88.18	87.45
MG-LPS-KO-12F	80.91	84.96	71.39	79.96	88.84	89.96	94.06	84.58	75.97	91.96	86.32	94.06	95.96	76.43	80.74	91.26	79.13	87.96	99.96	95.61	83.3	87.96	90.87	83.97	100	84.17	84.58	87.96	95.61	91.96	87.96	86.32	90.87	90.87	90.87	95.41	90.87	90.87	86.92	87.96	91.26	87.46	91.26	91.26	82.57	94.69	91.96	95.79	91.63	86.92	91.26	90.87	91.96	91.63	86.32	95.79	95.41	90.87	91.63	88.43	92.27	92.27
MG-LPS-KO-13F	81.74	90.83	72.66	89.91	99.89	81.74	89.91	72.66	63.58	63.58	69.93	87.39	72.66	79.92	63.58	99.91	72.66	63.58	81.74	90.83	69.93	90.83	81.74	72.66	81.74	100	63.58	81.74	72.66	63.58	81.74	59.94	79.92	79.92	79.92	69.93	79.92	79.92	59.94	49.95	59.94	59.94	69.93	79.92	49.95	62.42	59.94	69.93	59.94	59.94	59.94	59.94	59.94	59.94	59.94	69.93	69.93	59.94	59.94	63.58	63.58	63.58
MG-LPS-KO-8F	99.92	92.79	92.79	99.92	92.79	91.59	91.59	99.93	85.65	92.79	99.92	83.26	85.65	91.59	85.65	92.24	78.52	78.52	92.24	92.79	85.65	85.65	92.79	99.93	92.79	90.83	100	78.52	92.24	85.65	92.24	76.86	91.59	92.24	91.59	92.24	92.24	90.83	74.94	76.86	84.55	76.86	84.55	92.24	74.94	90.83	84.55	92.24	84.55	76.86	84.55	90.83	84.55	84.55	76.86	92.24	91.59	81.74	84.55	78.52	85.65	85.65
MG-LPS-KO-9F	77.73	83.29	77.73	78.91	93.69	83.29	88.18	76.15	69.97	80.91	83.29	99.93	85.67	92.79	71.39	94.95	89.96	80.91	89.96	94.69	78.91	85.67	84.96	76.15	90.43	84.17	80.91	100	84.17	74.96	84.17	88.84	83.29	88.84	84.17	83.29	83.29	84.17	78.91	84.96	79.96	78.91	84.17	84.17	72.18	81.2	79.96	84.17	79.96	79.96	78.91	78.91	79.96	79.96	77.73	84.17	84.96	78.91	79.96	80.91	80.91	80.91
MG-LPS-KO-10M	68.39	74.96	59.97	64.67	87.45	95.19	88.18	73.88	61.88	95.61	70.55	92.79	91.26	66.62	77.24	86.92	82.57	82.57	95.61	89.96	73.65	78.23	95.61	83.3	95.41	76.15	71.39	82.57	100	91.63	95.61	89.96	95.41	94.39	94.69	99.95	94.95	95.41	90.87	90.87	95.41	90.87	95.41	95.19	84.96	99.94	95.19	99.95	95.41	91.26	95.19	95.19	95.41	95.41	90.43	99.95	99.95	95.19	95.41	87.46	95.79	95.61
MG-LPS-KO-11M	68.71	73.28	53.3	68.71	83.26	87.45	78.52	64.67	68.71	82.3	64.24	90.83	88.18	58.28	82.3	76.43	70.55	82.3	82.3	79.95	79.95	76.43	88.18	77.73	82.3	74.95	58.79	70.55	88.18	100	88.18	81.2	86.61	85.65	86.61	86.61	86.61	87.45	93.69	87.45	93.69	93.69	87.45	87.45	93.27	84.55	93.69	87.45	93.69	94.06	93.69	81.2	93.69	93.69	93.27	87.45	87.45	93.69	93.69	88.84	94.39	94.06
MG-LPS-KO-14M	74.95	82.3	64.67	73.28	92.79	99.94	93.27	77.73	68.71	99.94	71.38	99.9	88.84	64.24	82.3	88.84	88.84	83.29	94.06	87.45	78.52	83.29	99.94	83.29	94.06	83.29	74.95	83.29	99.94	88.84	100	88.18	99.94	93.27	99.94	99.94	99.94	94.06	94.06	88.18	94.06	88.18	99.94	99.94	93.69	99.93	94.06	94.06	88.18	88.18	88.18	94.06	94.06	88.18	94.06	99.94	99.94	88.18	94.06	94.39	94.39	94.39
PC-Sal-WT-1F	53.8	61.49	53.3	45.41	79.92	92.79	79.92	66.63	56.21	76.15	54.5	99.8	87.45	59.94	70.55	82.3	88.84	80.91	88.18	76.86	73.28	64.97	93.27	66.62	88.18	64.24	64.97	88.18	93.69	90.43	86.61	100	95.41	89.96	95.41	83.3	82.57	91.63	91.63	99.96	94.95	74.97	95.41	95.61	89.96	94.39	84.96	91.63	91.63	83.3	90.87	91.26	91.26	73.88	95.79	87.46	82.57	73.88	95.61	95.61	95.61	91.63
PC-Sal-WT-2F	55.49	72.66	49.96	37.45	87.39	99.92	87.39	61.49	45.41	99.93	42.8	99.75	85.65	42.8	66.61	83.26	78.52	84.55	92.24	79.92	49.94	69.18	99.92	69.18	92.24	66.61	72.66	78.52	99.92	84.55	99.92	92.79	100	90.83	99.92	99.93	99.93	99.93	92.79	85.65	92.79	92.79	99.93	99.93	91.59	99.93	92.24	99.93	92.79	92.79	92.24	99.93	92.79	92.79	92.79	99.93	99.93	92.79	92.79	92.79	92.79	92.79
PC-Sal-WT-3M	62.42	77.69	44.4	62.42	87.39	88.79	77.69	83.26	72.66	99.92	77.69	99.83	83.26	37.45	91.59	81.74	92.24	74.94	89.91	89.91	72.66	90.83	89.91	89.91	91.59	79.92	69.93	83.26	99.9	90.83	79.92	85.65	92.79	100	92.79	99.93	92.79	85.65	92.24	84.55	92.24	85.65	99.93	92.24	91.59	99.92	92.24	92.24	84.55	84.55	84.55	92.79	92.79	84.55	92.24	99.92	99.93	84.55	92.79	92.24	92.24	92.24
PC-Sal-WT-4M	69.18	76.86	57.1	66.61	90.83	99.92	91.59	72.18	57.1	78.91	54.5	85.59	76.86	54.5	71.38	84.55	81.2	77.73	86.61	76.86	71.38	66.63	99.93	71.38	84.55	78.52	64.67	69.18	92.24	83.29	99.92	84.17	99.95	88.18	100	78.91	84.17	94.69	88.84	83.29	85.65	63.12	94.69	99.94	88.18	92.79	74.95	88.84	83.29	72.18	83.29	89.43	84.17	61.08	88.84	83.29	78.91	61.08	89.43	88.84	88.84	88.84
PC-Sal-KO-1F	58.28	71.38	53.3	58.28	89.91	99.93	90.83	66.63	61.08	94.69	61.49	99.89	89.43	59.94	72.18	88.18	84.17	83.29	94.39	85.65	73.28	77.73	99.94	76.43	94.95	73.28	64.67	84.96	99.94	88.84	94.06	94.69	99.95	93.69	99.94	100	99.94	99.95	94.95	89.96	94.95	94.95	99.95	99.95	87.45	99.94	94.06	99.95	94.95	94.95	94.06	94.95	94.95	94.95	94.95	99.95	99.95	94.95	94.95	94.95	94.95	94.95
PC-Sal-KO-2F	54.5	66.61	46.12	49.95	88.79	99.92	89.91	53.3	42.83	86.61	45.41	85.59	79.95	55.49	59.96	85.65	73.28	73.28	85.65	72.66	54.5	64.24	99.92	61.49	86.61	66.61	57.1	73.28	92.24	78.52	92.24	86.61	99.93	85.65	99.93	93.27	100	99.93	86.61	79.95	86.61	86.61	93.27	99.93	76.86	92.79	86.61	93.27	86.61	86.61	86.61	86.61	86.61	86.61	86.61	93.27	93.27	86.61	86.61	86.61	86.61	86.61
PC-Sal-KO-3F	54.5	66.61	46.12	49.95	88.79	99.92	89.91	58.79	46.64	82.3	45.41	85.59	79.95	55.49	59.96	85.65	74.95	76.43	87.45	72.66	61.49	68.71	99.92	61.49	86.61	66.61	56.21	73.28	92.24	81.2	92.24	88.18	99.94	87.45	99.94	88.18	88.84	100	88.84	83.29	86.61	76.43	94.06	99.94	81.2	93.27	76.43	94.06	88.18	83.29	88.18	88.18	82.3	76.43	88.18	94.39	88.18	76.43	88.84	88.84	88.18	88.18
PC-LPS-WT-10F	63.12	72.69	59.06	61.08	82.3	91.26	82.3	73.05	74.97	92.56	66.63	92.24	96.26	59.96	83.97	83.97	84.58	92.56	92.27	86.32	85.67	80.74	91.26	79.97	91.96	71.39	69.53	84.58	95.79	95.79	87.96	91.26	91.96	90.87	91.26	95.96	91.26	91.63	100	96.26	99.96	99.96	96.26	91.96	95.79	95.41	99.96	96.12	99.96	99.96	99.96	92.56	99.96	99.96	99.96	96.26	96.12	99.96	99.96	99.96	99.96	99.96
PC-LPS-WT-11F	56.21	66.63	63.12	53.3	78.52	88.84	78.52	66.64	68.15	83.97	62.46	90.83	91.63	69.18	76.15	79.96	88.43	88.43	86.92	76.43	79.96	76.89	89.43	71.39	87.46	64.67	66.64	87.46	89.96	91.26	84.96	95.61	93.07	87.96	91.96	89.25	80.74	92.56	93.07	100	96.12	89.62	89.62	85.68	91.96	88.43	79.97	93.07	93.07	93.07	96.26	93.07	93.07	89.62	96.52	93.07	89.25	89.25	89.62	96.39	96.52	96.52
PC-LPS-WT-12F	66.62	73.28	58.79	61.49	91.59	99.94	90.83	68.39	64.67	94.69	61.49	99.88	94.39	63.58	78.91	88.84	84.17	89.43	94.06	86.61	76.86	77.73	99.94	76.43	94.39	73.28	76.43	83.29	99.94	94.39	94.06	94.39	99.95	94.06	99.95	99.95	99.95	99.94	99.95	94.69	100	99.95	99.95	99.95	94.06	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.95	99.94	99.95	99.95	99.95	99.95	99.95
PC-LPS-WT-5F	68.15	72.69	56.5	64.97	83.29	91.63	82.3	74.97	75.97	92.82	68.39	92.24	96.26	56.21	85.15	85.15	85.68	89.25	91.96	87.46	86.32	82.11	91.96	81.45	92.56	73.88	73.05	85.15	95.96	96.26	88.86	88.86	92.56	91.63	91.96	96.26	92.27	88.86	99.96	96.39	99.96	100	96.39	92.56	96.12	95.79	99.96	92.82	96.39	96.39	96.26	92.82	99.96	96.39	99.96	96.39	96.26	96.39	99.96	99.96	99.96	99.96
PC-LPS-WT-6F	72.18	79.96	66.63	68.39	87.45	95.19	86.61	81.45	72.69	92.56	74.95	99.92	92.27	66.62	83.3	87.46	87.96	88.86	96.12	89.96	82.57	88.86	95.19	87.46	95.79	78.91	75.97	87.96	99.96	95.79	91.63	92.82	96.12	96.26	92.27	96.39	85.15	95.96	96.39	92.82	92.27	89.62	100	96.52	92.82	99.96	89.62	99.97	96.52	93.07	96.52	96.52	93.07	89.25	92.56	99.97	92.82	89.62	93.07	96.52	93.07	96.52
PC-LPS-WT-11M	71.38	79.95	64.67	64.24	91.59	99.94	92.24	71.97	57.86	79.97	53.8	87.39	84.17	66.61	74.96	88.84	78.23	88.43	86.32	76.43	66.63	70.8	99.94	74.96	85.67	76.43	68.15	74.96	89.43	87.96	88.84	87.96	99.96	86.92	95.96	83.3	83.97	99.96	88.43	87.46	86.32	75.97	92.27	100	90.87	95.41	79.13	96.12	92.27	80.74	91.96	92.27	88.43	75.97	92.27	83.97	79.97	76.89	87.96	88.43	88.43	88.43
PC-LPS-WT-1M	84.55	91.59	76.86	84.55	99.91	99.92	89.91	83.29	86.61	94.06	84.55	99.89	93.27	72.66	99.93	93.27	99.94	88.18	92.79	92.79	87.45	94.06	99.92	92.79	93.69	90.83	77.73	92.79	99.92	99.94	92.79	94.39	99.94	99.94	99.94	94.39	88.84	94.06	94.69	99.94	99.94	84.17	99.94	99.94	100	99.93	88.18	94.39	94.39	89.43	94.06	94.39	94.39	83.29	99.94	99.95	93.69	83.29	99.94	99.94	99.94	94.69
PC-LPS-WT-8M	61.49	71.38	56.21	58.79	81.74	92.79	83.26	73.65	62.46	99.94	66.61	99.86	89.96	61.49	78.91	83.29	84.17	89.96	94.06	85.65	74.95	78.91	92.79	78.91	94.95	58.28	84.17	84.96	99.94	88.18	88.84	86.32	94.95	95.41	90.43	99.96	86.32	94.39	95.79	90.87	91.26	95.79	99.96	95.96	95.79	100	95.79	99.96	95.96	95.96	95.96	99.96	95.96	95.41	91.26	99.96	95.41	95.79	91.63	95.79	91.96	95.96
PC-LPS-WT-9M	70.55	76.43	57.86	66.63	79.95	89.43	81.2	77.24	79.96	95.41	73.28	89.91	95.19	56.21	90.87	79.96	82.57	91.26	88.84	84.17	83.29	81.78	89.43	81.78	90.87	68.71	80.91	80.91	94.95	99.95	84.96	86.92	90.43	91.63	91.26	95.79	91.26	85.67	99.96	95.79	99.96	95.79	95.96	91.96	99.96	95.96	100	91.96	95.96	95.96	95.96	95.79	99.96	95.79	99.96	95.79	95.61	95.79	99.96	99.96	99.96	99.96
