Sample	2mo-WT-10F	2mo-WT-11F	2mo-WT-6F	2mo-WT-7F	2mo-WT-8F	2mo-WT-9F	2mo-WT-1M	2mo-WT-2M	2mo-WT-3M	2mo-WT-4M	2mo-WT-5M	2mo-Het-3F	2mo-Het-4F	2mo-Het-5F	2mo-Het-6F	2mo-Het-10M	2mo-Het-1M	2mo-Het-2M	2mo-Het-7M	2mo-Het-9M	2mo-KO-4F	2mo-KO-5F	2mo-KO-6F	2mo-KO-7F	2mo-KO-8F	2mo-KO-10M	2mo-KO-11M	2mo-KO-12M	2mo-KO-13M	2mo-KO-2M	2mo-KO-9M	1yr-WT-2F	1yr-WT-3F	1yr-WT-4F	1yr-WT-5F	1yr-WT-6F	1yr-WT-7F	1yr-WT-8F	1yr-WT-10M	1yr-WT-11M	1yr-WT-9M	1yr-Het-1F	1yr-Het-5F	1yr-Het-6F	1yr-Het-7F	1yr-Het-8F	1yr-Het-9F	1yr-Het-11M	1yr-Het-12M	1yr-Het-14M	1yr-Het-2M	1yr-Het-4M	1yr-KO-11F	1yr-KO-1F	1yr-KO-2F	1yr-KO-3F	1yr-KO-8F	1yr-KO-9F	1yr-KO-13M	1yr-KO-14M	1yr-KO-15M	1yr-KO-16M	1yr-KO-6M	1yr-KO-7M	2yr-WT-1F	2yr-WT-2F	2yr-WT-3F	2yr-WT-5F	2yr-WT-6F	2yr-WT-7F	2yr-WT-8F	2yr-WT-10M	2yr-WT-4M	2yr-WT-9M	2yr-Het-2F	2yr-Het-6F	2yr-Het-7F	2yr-Het-8F	2yr-Het-1M	2yr-Het-3M	2yr-Het-4M	2yr-Het-5M	2yr-KO-4F	2yr-KO-7F	2yr-KO-8F	2yr-KO-9F	2yr-KO-10M	2yr-KO-11M	2yr-KO-12M	2yr-KO-1M	2yr-KO-2M	2yr-KO-3M	2yr-KO-6M
2yr-WT-2F	0.835	0.836	0.831	0.822	0.816	0.83	0.831	0.833	0.834	0.823	0.816	0.84	0.843	0.832	0.819	0.821	0.843	0.845	0.841	0.83	0.842	0.844	0.843	0.805	0.814	0.842	0.84	0.839	0.838	0.825	0.845	0.854	0.842	0.851	0.838	0.851	0.846	0.848	0.838	0.838	0.84	0.826	0.845	0.837	0.846	0.83	0.854	0.857	0.86	0.839	0.853	0.854	0.838	0.841	0.848	0.849	0.846	0.855	0.861	0.862	0.848	0.857	0.852	0.855	0.854	1	0.855	0.86	0.855	0.853	0.846	0.857	0.857	0.862	0.858	0.859	0.856	0.856	0.866	0.86	0.855	0.862	0.856	0.858	0.852	0.859	0.864	0.86	0.855	0.851	0.863	0.859	0.857
2yr-WT-3F	0.86	0.862	0.862	0.852	0.848	0.85	0.859	0.862	0.857	0.849	0.841	0.869	0.874	0.849	0.829	0.847	0.864	0.869	0.857	0.851	0.868	0.866	0.871	0.827	0.834	0.866	0.859	0.86	0.854	0.841	0.864	0.876	0.871	0.869	0.868	0.882	0.873	0.874	0.859	0.855	0.86	0.856	0.87	0.858	0.869	0.856	0.876	0.876	0.873	0.857	0.873	0.869	0.859	0.867	0.874	0.871	0.87	0.872	0.876	0.875	0.866	0.871	0.872	0.87	0.891	0.855	1	0.893	0.892	0.881	0.882	0.886	0.89	0.889	0.888	0.891	0.886	0.879	0.888	0.882	0.88	0.885	0.88	0.884	0.878	0.884	0.886	0.882	0.881	0.888	0.881	0.884	0.883
2yr-WT-5F	0.869	0.866	0.859	0.849	0.848	0.855	0.858	0.862	0.857	0.855	0.843	0.87	0.875	0.856	0.836	0.849	0.869	0.869	0.857	0.855	0.871	0.87	0.872	0.828	0.833	0.868	0.862	0.864	0.857	0.844	0.869	0.879	0.874	0.877	0.868	0.883	0.875	0.874	0.861	0.864	0.867	0.86	0.87	0.863	0.87	0.856	0.879	0.878	0.879	0.863	0.878	0.873	0.865	0.868	0.878	0.878	0.874	0.873	0.878	0.881	0.871	0.876	0.881	0.879	0.89	0.86	0.893	1	0.892	0.887	0.882	0.889	0.892	0.885	0.896	0.898	0.888	0.882	0.891	0.89	0.879	0.893	0.884	0.89	0.884	0.89	0.888	0.893	0.886	0.885	0.891	0.888	0.891
2yr-WT-6F	0.866	0.862	0.865	0.852	0.853	0.853	0.861	0.862	0.857	0.855	0.845	0.872	0.877	0.854	0.838	0.847	0.871	0.871	0.857	0.853	0.872	0.87	0.872	0.831	0.834	0.866	0.864	0.866	0.858	0.845	0.873	0.868	0.864	0.87	0.866	0.88	0.871	0.875	0.861	0.862	0.862	0.862	0.869	0.86	0.865	0.856	0.872	0.877	0.874	0.858	0.877	0.87	0.859	0.869	0.876	0.876	0.87	0.87	0.878	0.875	0.87	0.874	0.875	0.873	0.891	0.855	0.892	0.892	1	0.882	0.884	0.889	0.887	0.888	0.888	0.896	0.881	0.88	0.888	0.887	0.881	0.884	0.879	0.885	0.881	0.887	0.886	0.891	0.885	0.892	0.882	0.883	0.888
2yr-WT-7F	0.855	0.856	0.848	0.845	0.839	0.847	0.847	0.849	0.85	0.844	0.83	0.867	0.865	0.846	0.829	0.842	0.86	0.862	0.854	0.845	0.861	0.861	0.866	0.832	0.831	0.857	0.853	0.86	0.85	0.836	0.862	0.87	0.868	0.873	0.865	0.874	0.863	0.866	0.85	0.851	0.85	0.856	0.866	0.854	0.863	0.849	0.87	0.869	0.869	0.849	0.87	0.868	0.864	0.864	0.872	0.87	0.868	0.864	0.87	0.873	0.86	0.868	0.868	0.871	0.885	0.853	0.881	0.887	0.882	1	0.877	0.877	0.876	0.877	0.884	0.886	0.883	0.875	0.879	0.881	0.874	0.879	0.878	0.883	0.879	0.886	0.878	0.88	0.88	0.878	0.879	0.878	0.88
2yr-WT-8F	0.856	0.855	0.853	0.85	0.846	0.848	0.852	0.856	0.853	0.844	0.836	0.863	0.869	0.847	0.834	0.842	0.863	0.867	0.852	0.849	0.865	0.867	0.866	0.837	0.846	0.862	0.857	0.861	0.852	0.848	0.865	0.864	0.864	0.866	0.867	0.873	0.864	0.868	0.853	0.854	0.856	0.856	0.864	0.849	0.855	0.851	0.869	0.87	0.868	0.85	0.863	0.863	0.861	0.866	0.868	0.866	0.865	0.86	0.869	0.868	0.861	0.868	0.866	0.861	0.882	0.846	0.882	0.882	0.884	0.877	1	0.886	0.87	0.878	0.88	0.886	0.874	0.876	0.867	0.87	0.879	0.872	0.864	0.879	0.878	0.881	0.873	0.879	0.877	0.885	0.872	0.873	0.874
2yr-WT-10M	0.86	0.859	0.855	0.849	0.849	0.852	0.856	0.86	0.858	0.851	0.842	0.864	0.867	0.849	0.832	0.845	0.866	0.876	0.857	0.851	0.862	0.866	0.866	0.833	0.841	0.87	0.858	0.861	0.856	0.847	0.869	0.875	0.869	0.869	0.867	0.878	0.868	0.868	0.853	0.861	0.859	0.853	0.865	0.854	0.861	0.851	0.875	0.875	0.872	0.856	0.874	0.868	0.858	0.868	0.871	0.867	0.868	0.867	0.877	0.875	0.868	0.875	0.875	0.87	0.888	0.857	0.886	0.889	0.889	0.877	0.886	1	0.887	0.885	0.882	0.888	0.878	0.882	0.884	0.883	0.884	0.884	0.874	0.886	0.876	0.881	0.88	0.88	0.886	0.883	0.88	0.885	0.882
2yr-WT-4M	0.865	0.868	0.866	0.847	0.847	0.847	0.861	0.863	0.86	0.854	0.848	0.864	0.87	0.851	0.827	0.843	0.868	0.867	0.855	0.848	0.862	0.866	0.866	0.825	0.829	0.864	0.857	0.859	0.853	0.843	0.869	0.87	0.867	0.869	0.857	0.88	0.872	0.871	0.866	0.863	0.865	0.852	0.866	0.857	0.868	0.854	0.87	0.874	0.877	0.859	0.876	0.874	0.856	0.87	0.87	0.871	0.861	0.863	0.879	0.878	0.867	0.877	0.876	0.88	0.883	0.857	0.89	0.892	0.887	0.876	0.87	0.887	1	0.884	0.885	0.887	0.875	0.868	0.891	0.883	0.881	0.889	0.881	0.881	0.872	0.882	0.886	0.891	0.877	0.88	0.883	0.883	0.881
2yr-WT-9M	0.861	0.861	0.856	0.844	0.843	0.846	0.857	0.858	0.856	0.85	0.839	0.864	0.868	0.85	0.826	0.845	0.866	0.868	0.861	0.852	0.862	0.861	0.868	0.827	0.829	0.863	0.863	0.863	0.86	0.841	0.865	0.872	0.865	0.871	0.867	0.879	0.871	0.874	0.859	0.861	0.862	0.855	0.87	0.858	0.869	0.856	0.872	0.881	0.878	0.859	0.877	0.872	0.859	0.863	0.878	0.87	0.869	0.87	0.878	0.878	0.869	0.874	0.878	0.877	0.883	0.862	0.889	0.885	0.888	0.877	0.878	0.885	0.884	1	0.886	0.892	0.882	0.878	0.885	0.888	0.879	0.882	0.879	0.884	0.878	0.885	0.884	0.886	0.883	0.881	0.88	0.882	0.882
2yr-Het-2F	0.866	0.862	0.856	0.845	0.844	0.855	0.859	0.856	0.856	0.848	0.84	0.871	0.877	0.85	0.834	0.848	0.872	0.87	0.863	0.851	0.869	0.871	0.874	0.831	0.834	0.867	0.863	0.87	0.859	0.842	0.872	0.876	0.869	0.875	0.864	0.883	0.874	0.876	0.86	0.861	0.864	0.858	0.872	0.86	0.87	0.855	0.879	0.877	0.88	0.863	0.881	0.875	0.859	0.866	0.879	0.877	0.869	0.871	0.879	0.879	0.87	0.881	0.881	0.877	0.886	0.858	0.888	0.896	0.888	0.884	0.88	0.882	0.885	0.886	1	0.895	0.884	0.883	0.891	0.888	0.885	0.887	0.882	0.893	0.891	0.887	0.882	0.892	0.888	0.883	0.886	0.885	0.885
2yr-Het-6F	0.868	0.865	0.866	0.852	0.851	0.855	0.859	0.861	0.857	0.854	0.844	0.876	0.875	0.852	0.838	0.847	0.876	0.88	0.869	0.854	0.872	0.87	0.875	0.832	0.835	0.87	0.865	0.869	0.861	0.846	0.875	0.878	0.87	0.875	0.87	0.88	0.878	0.881	0.866	0.871	0.869	0.864	0.872	0.864	0.874	0.856	0.878	0.882	0.878	0.863	0.886	0.879	0.862	0.871	0.883	0.881	0.877	0.876	0.881	0.884	0.875	0.881	0.883	0.882	0.888	0.859	0.891	0.898	0.896	0.886	0.886	0.888	0.887	0.892	0.895	1	0.887	0.884	0.896	0.896	0.889	0.892	0.886	0.891	0.891	0.896	0.889	0.896	0.89	0.89	0.889	0.889	0.889
2yr-Het-7F	0.857	0.857	0.85	0.838	0.837	0.843	0.843	0.846	0.847	0.84	0.83	0.864	0.865	0.846	0.828	0.835	0.866	0.861	0.854	0.847	0.861	0.863	0.863	0.828	0.83	0.858	0.852	0.859	0.851	0.836	0.861	0.87	0.867	0.866	0.86	0.874	0.871	0.873	0.854	0.856	0.857	0.856	0.868	0.859	0.862	0.85	0.871	0.872	0.878	0.85	0.875	0.872	0.856	0.861	0.876	0.871	0.866	0.87	0.872	0.872	0.866	0.87	0.87	0.876	0.878	0.856	0.886	0.888	0.881	0.883	0.874	0.878	0.875	0.882	0.884	0.887	1	0.874	0.882	0.882	0.876	0.884	0.88	0.883	0.88	0.886	0.885	0.886	0.879	0.872	0.882	0.881	0.882
2yr-Het-8F	0.853	0.852	0.845	0.84	0.837	0.843	0.842	0.844	0.845	0.839	0.829	0.862	0.863	0.839	0.826	0.836	0.859	0.863	0.852	0.839	0.86	0.86	0.862	0.823	0.832	0.855	0.852	0.854	0.854	0.834	0.862	0.875	0.865	0.866	0.862	0.872	0.865	0.866	0.852	0.851	0.857	0.85	0.863	0.853	0.861	0.847	0.864	0.871	0.866	0.856	0.865	0.865	0.858	0.857	0.872	0.87	0.869	0.865	0.869	0.867	0.861	0.867	0.867	0.867	0.877	0.856	0.879	0.882	0.88	0.875	0.876	0.882	0.868	0.878	0.883	0.884	0.874	1	0.878	0.88	0.876	0.875	0.87	0.876	0.878	0.882	0.873	0.876	0.877	0.874	0.874	0.883	0.878
2yr-Het-1M	0.867	0.86	0.858	0.838	0.841	0.855	0.854	0.857	0.86	0.849	0.84	0.871	0.871	0.852	0.833	0.842	0.873	0.87	0.863	0.854	0.866	0.864	0.87	0.822	0.828	0.864	0.861	0.864	0.86	0.84	0.867	0.872	0.869	0.874	0.858	0.88	0.872	0.875	0.858	0.865	0.868	0.855	0.869	0.86	0.872	0.855	0.877	0.879	0.881	0.866	0.882	0.881	0.856	0.863	0.881	0.875	0.872	0.873	0.884	0.884	0.871	0.883	0.884	0.885	0.883	0.866	0.888	0.891	0.888	0.879	0.867	0.884	0.891	0.885	0.891	0.896	0.882	0.878	1	0.892	0.884	0.893	0.885	0.887	0.883	0.885	0.888	0.894	0.886	0.881	0.892	0.892	0.885
2yr-Het-3M	0.863	0.86	0.862	0.842	0.842	0.852	0.855	0.86	0.857	0.853	0.841	0.87	0.873	0.854	0.834	0.843	0.873	0.871	0.862	0.855	0.867	0.864	0.868	0.822	0.827	0.863	0.858	0.871	0.855	0.838	0.87	0.874	0.868	0.871	0.861	0.881	0.869	0.874	0.859	0.867	0.867	0.858	0.868	0.861	0.873	0.851	0.874	0.882	0.882	0.861	0.883	0.88	0.857	0.865	0.876	0.876	0.87	0.871	0.88	0.88	0.874	0.881	0.883	0.881	0.88	0.86	0.882	0.89	0.887	0.881	0.87	0.883	0.883	0.888	0.888	0.896	0.882	0.88	0.892	1	0.877	0.891	0.882	0.889	0.876	0.884	0.888	0.892	0.883	0.879	0.889	0.887	0.889
2yr-Het-4M	0.86	0.858	0.85	0.844	0.843	0.846	0.852	0.851	0.85	0.839	0.834	0.866	0.867	0.843	0.836	0.838	0.864	0.868	0.863	0.847	0.862	0.867	0.866	0.839	0.838	0.866	0.862	0.863	0.852	0.848	0.867	0.868	0.868	0.872	0.866	0.877	0.867	0.873	0.859	0.861	0.86	0.854	0.866	0.857	0.861	0.853	0.873	0.874	0.875	0.861	0.875	0.872	0.862	0.866	0.873	0.871	0.867	0.866	0.874	0.873	0.864	0.874	0.873	0.875	0.88	0.855	0.88	0.879	0.881	0.874	0.879	0.884	0.881	0.879	0.885	0.889	0.876	0.876	0.884	0.877	1	0.882	0.87	0.881	0.881	0.885	0.88	0.887	0.885	0.878	0.876	0.887	0.88
2yr-Het-5M	0.859	0.859	0.851	0.838	0.837	0.848	0.851	0.852	0.851	0.841	0.835	0.865	0.868	0.846	0.827	0.835	0.868	0.865	0.852	0.849	0.864	0.863	0.864	0.818	0.823	0.857	0.852	0.859	0.855	0.834	0.862	0.875	0.867	0.871	0.856	0.876	0.872	0.873	0.86	0.861	0.865	0.852	0.867	0.858	0.872	0.858	0.874	0.881	0.88	0.861	0.879	0.879	0.854	0.868	0.873	0.873	0.866	0.866	0.877	0.879	0.872	0.877	0.883	0.882	0.883	0.862	0.885	0.893	0.884	0.879	0.872	0.884	0.889	0.882	0.887	0.892	0.884	0.875	0.893	0.891	0.882	1	0.886	0.886	0.879	0.886	0.891	0.893	0.885	0.877	0.888	0.888	0.888
2yr-KO-4F	0.857	0.854	0.85	0.835	0.835	0.841	0.843	0.847	0.847	0.839	0.83	0.862	0.86	0.842	0.823	0.834	0.858	0.859	0.848	0.843	0.857	0.859	0.861	0.812	0.822	0.853	0.852	0.853	0.847	0.83	0.857	0.873	0.865	0.867	0.855	0.874	0.868	0.87	0.85	0.857	0.858	0.847	0.868	0.856	0.867	0.849	0.865	0.876	0.872	0.855	0.874	0.873	0.854	0.862	0.868	0.868	0.865	0.866	0.879	0.877	0.867	0.875	0.876	0.876	0.878	0.856	0.88	0.884	0.879	0.878	0.864	0.874	0.881	0.879	0.882	0.886	0.88	0.87	0.885	0.882	0.87	0.886	1	0.884	0.873	0.884	0.887	0.887	0.876	0.869	0.883	0.883	0.882
2yr-KO-7F	0.866	0.862	0.856	0.85	0.84	0.85	0.852	0.857	0.853	0.85	0.837	0.869	0.867	0.853	0.828	0.844	0.867	0.869	0.854	0.851	0.869	0.868	0.867	0.837	0.839	0.865	0.86	0.864	0.857	0.845	0.868	0.872	0.869	0.872	0.865	0.877	0.872	0.871	0.854	0.86	0.866	0.862	0.868	0.86	0.873	0.856	0.877	0.877	0.875	0.858	0.878	0.875	0.864	0.871	0.874	0.871	0.871	0.866	0.881	0.879	0.871	0.877	0.881	0.878	0.886	0.858	0.884	0.89	0.885	0.883	0.879	0.886	0.881	0.884	0.893	0.891	0.883	0.876	0.887	0.889	0.881	0.886	0.884	1	0.882	0.892	0.895	0.893	0.884	0.886	0.884	0.886	0.885
2yr-KO-8F	0.86	0.861	0.856	0.846	0.843	0.854	0.851	0.854	0.85	0.844	0.837	0.866	0.868	0.849	0.836	0.843	0.869	0.869	0.861	0.85	0.869	0.872	0.872	0.834	0.838	0.863	0.865	0.863	0.855	0.845	0.869	0.869	0.865	0.87	0.868	0.877	0.867	0.872	0.859	0.856	0.857	0.86	0.865	0.855	0.858	0.851	0.872	0.871	0.87	0.855	0.872	0.868	0.859	0.861	0.875	0.875	0.867	0.866	0.869	0.871	0.868	0.875	0.87	0.868	0.878	0.852	0.878	0.884	0.881	0.879	0.878	0.876	0.872	0.878	0.891	0.891	0.88	0.878	0.883	0.876	0.881	0.879	0.873	0.882	1	0.884	0.876	0.887	0.889	0.877	0.877	0.879	0.884
2yr-KO-9F	0.862	0.856	0.853	0.846	0.84	0.851	0.848	0.851	0.847	0.847	0.83	0.867	0.867	0.847	0.832	0.841	0.864	0.865	0.853	0.851	0.866	0.867	0.866	0.839	0.845	0.861	0.857	0.863	0.856	0.845	0.868	0.874	0.872	0.875	0.869	0.878	0.87	0.872	0.853	0.859	0.86	0.862	0.871	0.858	0.87	0.861	0.881	0.878	0.878	0.857	0.875	0.872	0.872	0.867	0.875	0.874	0.877	0.871	0.879	0.881	0.873	0.877	0.88	0.879	0.881	0.859	0.884	0.89	0.887	0.886	0.881	0.881	0.882	0.885	0.887	0.896	0.886	0.882	0.885	0.884	0.885	0.886	0.884	0.892	0.884	1	0.89	0.89	0.887	0.885	0.883	0.889	0.888
2yr-KO-10M	0.86	0.853	0.853	0.839	0.838	0.847	0.848	0.855	0.85	0.847	0.834	0.863	0.865	0.852	0.827	0.84	0.865	0.868	0.849	0.849	0.865	0.864	0.863	0.826	0.834	0.862	0.856	0.859	0.856	0.842	0.863	0.877	0.869	0.87	0.858	0.873	0.874	0.876	0.858	0.866	0.867	0.857	0.868	0.861	0.872	0.861	0.875	0.88	0.88	0.862	0.885	0.877	0.866	0.867	0.87	0.874	0.866	0.872	0.884	0.884	0.875	0.882	0.883	0.883	0.879	0.864	0.886	0.888	0.886	0.878	0.873	0.88	0.886	0.884	0.882	0.889	0.885	0.873	0.888	0.888	0.88	0.891	0.887	0.895	0.876	0.89	1	0.89	0.882	0.879	0.888	0.886	0.891
2yr-KO-11M	0.866	0.864	0.86	0.843	0.842	0.85	0.857	0.859	0.855	0.851	0.839	0.871	0.871	0.849	0.828	0.839	0.873	0.873	0.863	0.85	0.871	0.869	0.872	0.829	0.834	0.865	0.863	0.869	0.856	0.848	0.872	0.872	0.871	0.872	0.864	0.881	0.878	0.876	0.869	0.875	0.871	0.861	0.87	0.861	0.87	0.862	0.874	0.879	0.882	0.864	0.883	0.882	0.86	0.869	0.876	0.879	0.867	0.875	0.883	0.881	0.876	0.884	0.882	0.884	0.884	0.86	0.882	0.893	0.891	0.88	0.879	0.88	0.891	0.886	0.892	0.896	0.886	0.876	0.894	0.892	0.887	0.893	0.887	0.893	0.887	0.89	0.89	1	0.888	0.883	0.891	0.893	0.887
2yr-KO-12M	0.86	0.856	0.853	0.843	0.842	0.852	0.847	0.853	0.852	0.849	0.839	0.867	0.867	0.847	0.835	0.843	0.866	0.874	0.859	0.85	0.87	0.871	0.87	0.835	0.834	0.866	0.866	0.86	0.861	0.842	0.871	0.872	0.87	0.872	0.865	0.88	0.872	0.873	0.858	0.861	0.863	0.858	0.87	0.858	0.865	0.856	0.876	0.879	0.877	0.864	0.878	0.876	0.864	0.861	0.874	0.876	0.873	0.873	0.883	0.88	0.874	0.879	0.878	0.881	0.882	0.855	0.881	0.886	0.885	0.88	0.877	0.886	0.877	0.883	0.888	0.89	0.879	0.877	0.886	0.883	0.885	0.885	0.876	0.884	0.889	0.887	0.882	0.888	1	0.877	0.888	0.887	0.889
2yr-KO-1M	0.865	0.867	0.867	0.856	0.851	0.858	0.862	0.865	0.856	0.854	0.844	0.869	0.872	0.848	0.828	0.844	0.87	0.868	0.858	0.846	0.868	0.868	0.873	0.84	0.84	0.871	0.861	0.865	0.856	0.847	0.873	0.866	0.861	0.867	0.864	0.87	0.863	0.866	0.861	0.86	0.858	0.859	0.861	0.851	0.863	0.85	0.865	0.864	0.868	0.85	0.869	0.864	0.858	0.871	0.87	0.872	0.864	0.86	0.871	0.863	0.857	0.866	0.87	0.866	0.887	0.851	0.888	0.885	0.892	0.878	0.885	0.883	0.88	0.881	0.883	0.89	0.872	0.874	0.881	0.879	0.878	0.877	0.869	0.886	0.877	0.885	0.879	0.883	0.877	1	0.871	0.878	0.877
2yr-KO-2M	0.856	0.855	0.848	0.84	0.838	0.848	0.846	0.85	0.852	0.844	0.837	0.863	0.865	0.849	0.827	0.838	0.867	0.866	0.854	0.847	0.863	0.864	0.867	0.822	0.83	0.862	0.856	0.856	0.854	0.838	0.868	0.871	0.87	0.87	0.855	0.874	0.866	0.874	0.855	0.859	0.861	0.851	0.869	0.859	0.868	0.853	0.871	0.875	0.877	0.865	0.884	0.877	0.855	0.866	0.875	0.868	0.868	0.872	0.881	0.881	0.873	0.881	0.882	0.883	0.882	0.863	0.881	0.891	0.882	0.879	0.872	0.88	0.883	0.88	0.886	0.889	0.882	0.874	0.892	0.889	0.876	0.888	0.883	0.884	0.877	0.883	0.888	0.891	0.888	0.871	1	0.889	0.892
2yr-KO-3M	0.863	0.86	0.845	0.842	0.839	0.848	0.851	0.855	0.849	0.841	0.837	0.862	0.863	0.849	0.828	0.838	0.865	0.866	0.854	0.845	0.865	0.865	0.866	0.829	0.833	0.865	0.856	0.864	0.857	0.84	0.864	0.875	0.873	0.871	0.86	0.876	0.869	0.87	0.853	0.859	0.86	0.852	0.869	0.859	0.87	0.855	0.872	0.875	0.876	0.862	0.878	0.873	0.86	0.87	0.873	0.87	0.873	0.87	0.88	0.877	0.871	0.88	0.877	0.882	0.885	0.859	0.884	0.888	0.883	0.878	0.873	0.885	0.883	0.882	0.885	0.889	0.881	0.883	0.892	0.887	0.887	0.888	0.883	0.886	0.879	0.889	0.886	0.893	0.887	0.878	0.889	1	0.885
2yr-KO-6M	0.857	0.856	0.852	0.85	0.842	0.852	0.851	0.852	0.852	0.847	0.841	0.866	0.869	0.848	0.832	0.842	0.873	0.866	0.86	0.851	0.866	0.864	0.864	0.83	0.836	0.866	0.862	0.861	0.86	0.845	0.868	0.875	0.87	0.872	0.865	0.878	0.865	0.871	0.853	0.859	0.861	0.854	0.869	0.861	0.866	0.854	0.877	0.878	0.876	0.862	0.878	0.875	0.863	0.864	0.873	0.877	0.872	0.872	0.882	0.88	0.873	0.877	0.883	0.881	0.879	0.857	0.883	0.891	0.888	0.88	0.874	0.882	0.881	0.882	0.885	0.889	0.882	0.878	0.885	0.889	0.88	0.888	0.882	0.885	0.884	0.888	0.891	0.887	0.889	0.877	0.892	0.885	1
